                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0407,                 3.1132,                 1.6359,                0.58461,                0.11303,                0.04943,                0.01138,                 2.9397,                 2.8746,                 1.5373,             0.00055104,             0.00055104,             0.00055104
                      2,                 2.8237,                 2.3193,                 1.5385,                0.61386,                0.15869,                0.08079,                0.01973,                 2.8312,                  2.636,                 1.5114,             0.00099714,             0.00099714,             0.00099714
                      3,                 2.7816,                 2.2824,                 1.5018,                0.63645,                0.16648,                0.10174,                0.02416,                 2.7369,                 2.3129,                 1.4685,              0.0013332,              0.0013332,              0.0013332
                      4,                 2.7336,                 2.1661,                 1.4892,                0.63827,                0.16147,                0.10276,                 0.0271,                 2.6688,                  2.122,                 1.4603,              0.0011719,              0.0011719,              0.0011719
                      5,                 2.7344,                 2.0642,                 1.4707,                  0.638,                0.18653,                0.11247,                0.02973,                 2.6435,                 2.0447,                 1.4413,              0.0011719,              0.0011719,              0.0011719
                      6,                 2.7095,                 2.0406,                 1.4677,                0.65799,                0.18318,                0.12548,                0.03285,                 2.6199,                 1.9895,                  1.443,              0.0010069,              0.0010069,              0.0010069
                      7,                  2.685,                 2.0265,                 1.4764,                0.63168,                0.18653,                0.11321,                 0.0293,                 2.6415,                 2.0219,                 1.4206,             0.00084184,             0.00084184,             0.00084184
                      8,                 2.6623,                 1.9768,                 1.4508,                0.17578,                0.18987,                0.14235,                0.03602,                 2.6269,                 1.9845,                 1.4336,              0.0006768,              0.0006768,              0.0006768
                      9,                 2.6613,                 1.9274,                 1.4536,                 0.1699,                0.18455,                0.14067,                0.03587,                 2.6126,                 1.9509,                 1.4263,             0.00051177,             0.00051177,             0.00051177
                     10,                 2.6221,                 1.8981,                 1.4233,                0.17472,                0.19042,                0.13994,                0.03641,                 2.6094,                 1.9188,                 1.4163,             0.00034674,             0.00034674,             0.00034674
